Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Jangsanbeom,장산범,28.7,28,853,Master,10001,
Alone,,28.5,28,1035,Master,10002,
Individual Combat,각개전투,29.8,29,1213,Master,10003,
Raining Cherry Blossom,벚꽃비,31.5,31,1168,Master,10004,
Starlight Serenade,별빛 세레나데,28.5,28,1353,Master,10005,
Secret Puppetry II,비밀 인형극 II,29.7,29,1007,Master,10006,
Carpe Diem!,,28.3,28,779,Master,10007,
Nail: in Disguise ,둔갑,29.6,29,957,Master,10008,
,,,,,,,
Pick Me Up,,28.3,28,874,Master,11001,
My Stage With You,,29.4,29,854,Master,11002,
Step Foward,踏步、出发,26.7,26,583,Master,11003,
First Storm,初岚,31.5,31,1414,Master,11004,
We Leave The World Together,,29.2,29,670,Master,11005,
Girl in the Mirror,镜中少女,27.9,27,871,Master,11006,
Dream Color Planet,梦色星球,30.2,30,1045,Master,11007,
yiyang,一样,30.3,30,789,Master,11008,
Low Chroma Notes,低彩度记事,30.6,30,907,Master,11009,
mae no hanashi,前ノハナシ (来都来了),30.9,30,1117,Master,11012,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pheles,フェレス,32.4,APD 31,1744,Append,291,RATING: mix of 39s and UnCh OS
Lagtrain,ラグトレイン,25.3,APD 25,1038,Append,469,
